epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7216,1.71446,2.19706,1.53315,0.29369,0.39733,0.29585,0.14118,2.10568,2.63947,1.96827,0.000468394,0.000468394,0.000468394
2,95.4935,1.60031,1.44426,1.4454,0.3405,0.37675,0.28102,0.13118,2.1382,4.3251,2.15549,0.000935375,0.000935375,0.000935375
3,127.992,1.63282,1.47474,1.48375,0.35899,0.29626,0.22079,0.09554,2.1469,5.66056,2.22732,0.00139292,0.00139292,0.00139292
4,160.626,1.60219,1.41175,1.46074,0.39499,0.42633,0.33665,0.15452,1.91644,3.67251,1.81526,0.00138656,0.00138656,0.00138656
5,193.375,1.53248,1.30609,1.41592,0.61695,0.54636,0.59539,0.31345,1.74699,2.00542,1.62366,0.00137241,0.00137241,0.00137241
6,226.212,1.495,1.22782,1.3868,0.68365,0.57788,0.65033,0.37741,1.63257,1.58528,1.48269,0.00135826,0.00135826,0.00135826
7,258.774,1.43139,1.1536,1.356,0.72724,0.63559,0.7053,0.39047,1.68081,1.44308,1.51381,0.00134412,0.00134412,0.00134412
8,291.54,1.41314,1.11457,1.338,0.72421,0.65728,0.721,0.45079,1.50261,1.19365,1.39902,0.00132997,0.00132997,0.00132997
9,324.174,1.38776,1.07125,1.31655,0.7232,0.63847,0.70642,0.4311,1.52819,1.25001,1.43116,0.00131582,0.00131582,0.00131582
10,357.03,1.34887,1.02563,1.29646,0.7244,0.65887,0.72104,0.45587,1.42161,1.2002,1.36999,0.00130168,0.00130168,0.00130168
11,389.718,1.32938,1.00233,1.28115,0.73478,0.66291,0.73154,0.44711,1.47802,1.15368,1.39735,0.00128753,0.00128753,0.00128753
12,422.565,1.30728,0.96221,1.26824,0.78071,0.73438,0.79928,0.52198,1.3582,0.98913,1.3103,0.00127338,0.00127338,0.00127338
13,455.423,1.27707,0.93455,1.25507,0.73604,0.69103,0.74998,0.49525,1.3687,1.07107,1.32171,0.00125923,0.00125923,0.00125923
14,488.132,1.26691,0.92834,1.24953,0.78435,0.74505,0.80554,0.53583,1.32837,0.93003,1.29815,0.00124509,0.00124509,0.00124509
15,520.944,1.2507,0.90053,1.23558,0.79305,0.75287,0.80228,0.52572,1.34604,0.95398,1.2835,0.00123094,0.00123094,0.00123094
16,553.656,1.23189,0.87881,1.22683,0.81525,0.76783,0.82912,0.55841,1.28853,0.8823,1.26938,0.00121679,0.00121679,0.00121679
17,586.53,1.2047,0.85288,1.21161,0.79882,0.74197,0.79727,0.53999,1.31261,0.9293,1.29207,0.00120265,0.00120265,0.00120265
18,619.296,1.19546,0.84474,1.21159,0.76005,0.73138,0.78748,0.52888,1.3186,0.96678,1.29057,0.0011885,0.0011885,0.0011885
19,652.105,1.18567,0.82487,1.20018,0.77385,0.79917,0.82276,0.56182,1.27397,0.86731,1.25235,0.00117435,0.00117435,0.00117435
20,684.995,1.18009,0.81307,1.19218,0.80915,0.77127,0.82295,0.56073,1.26719,0.88471,1.23382,0.00116021,0.00116021,0.00116021
21,717.578,1.15386,0.79994,1.18601,0.79703,0.75661,0.80614,0.53655,1.33584,0.9513,1.29047,0.00114606,0.00114606,0.00114606
22,750.336,1.15529,0.7898,1.17914,0.82895,0.78085,0.84158,0.57183,1.26083,0.83024,1.23403,0.00113191,0.00113191,0.00113191
23,783.096,1.13611,0.77099,1.1767,0.79136,0.76079,0.81233,0.55439,1.26108,0.91143,1.24424,0.00111776,0.00111776,0.00111776
24,815.83,1.11851,0.76215,1.16109,0.8086,0.81069,0.84138,0.57857,1.24636,0.82259,1.23409,0.00110362,0.00110362,0.00110362
25,848.531,1.10254,0.7392,1.15547,0.81239,0.79918,0.84232,0.58711,1.2467,0.83672,1.23131,0.00108947,0.00108947,0.00108947
26,881.455,1.11646,0.7432,1.15783,0.82824,0.79468,0.83606,0.5704,1.29036,0.8147,1.24362,0.00107532,0.00107532,0.00107532
27,914.052,1.08698,0.72525,1.14446,0.83969,0.79129,0.84976,0.59356,1.21914,0.78665,1.21964,0.00106118,0.00106118,0.00106118
28,946.565,1.07343,0.71185,1.14065,0.82239,0.78679,0.83981,0.56891,1.27755,0.85049,1.26153,0.00104703,0.00104703,0.00104703
29,979.146,1.06688,0.70933,1.1372,0.84237,0.79826,0.84742,0.60026,1.20751,0.78442,1.21458,0.00103288,0.00103288,0.00103288
30,1012.07,1.06721,0.7027,1.1341,0.84569,0.7774,0.84024,0.58745,1.22421,0.80712,1.23033,0.00101873,0.00101873,0.00101873
31,1044.67,1.05938,0.69766,1.12853,0.84088,0.78636,0.8501,0.59241,1.21209,0.78385,1.23274,0.00100459,0.00100459,0.00100459
32,1077.49,1.04976,0.68674,1.12343,0.84106,0.78712,0.84115,0.59092,1.21762,0.7753,1.22021,0.00099044,0.00099044,0.00099044
33,1110.24,1.0431,0.68422,1.11856,0.82939,0.81834,0.85193,0.60277,1.19658,0.7431,1.20888,0.000976293,0.000976293,0.000976293
34,1143.12,1.03426,0.66662,1.11572,0.83606,0.79517,0.84028,0.59043,1.23161,0.78392,1.23429,0.000962146,0.000962146,0.000962146
35,1175.86,1.02815,0.6666,1.11033,0.83917,0.79363,0.84637,0.59845,1.19018,0.76998,1.20173,0.000947999,0.000947999,0.000947999
36,1208.53,1.01278,0.65597,1.10491,0.84605,0.80001,0.84797,0.60007,1.20063,0.7698,1.20897,0.000933851,0.000933851,0.000933851
37,1241.25,1.01283,0.64968,1.10534,0.8469,0.81886,0.85931,0.60752,1.20087,0.74592,1.21661,0.000919704,0.000919704,0.000919704
38,1274.05,1.0003,0.6443,1.09748,0.84665,0.82038,0.86063,0.61554,1.16374,0.72604,1.18857,0.000905557,0.000905557,0.000905557
39,1306.85,0.9842,0.63351,1.09268,0.84774,0.79346,0.84976,0.607,1.1867,0.76703,1.20089,0.00089141,0.00089141,0.00089141
40,1339.48,0.98792,0.63276,1.09207,0.85116,0.80693,0.85826,0.61353,1.18803,0.73402,1.19477,0.000877263,0.000877263,0.000877263
41,1372.15,0.96572,0.62253,1.08406,0.85479,0.80223,0.85939,0.60933,1.17518,0.73685,1.21061,0.000863116,0.000863116,0.000863116
42,1404.95,0.96973,0.61077,1.07952,0.84388,0.81758,0.86212,0.61885,1.15609,0.73494,1.19387,0.000848969,0.000848969,0.000848969
43,1437.71,0.97218,0.6138,1.08205,0.85811,0.81474,0.86374,0.61973,1.16177,0.722,1.2003,0.000834822,0.000834822,0.000834822
44,1470.48,0.95174,0.60457,1.07528,0.86274,0.8141,0.86427,0.62045,1.15676,0.73131,1.19556,0.000820675,0.000820675,0.000820675
45,1503.13,0.94065,0.59799,1.06816,0.85723,0.81672,0.8644,0.6243,1.16754,0.71016,1.20437,0.000806528,0.000806528,0.000806528
46,1535.93,0.93686,0.59162,1.0694,0.85321,0.82953,0.86531,0.62757,1.15679,0.70691,1.19119,0.00079238,0.00079238,0.00079238
47,1568.66,0.93461,0.5953,1.06909,0.85673,0.80248,0.859,0.60691,1.20355,0.72693,1.22853,0.000778233,0.000778233,0.000778233
48,1601.34,0.92495,0.57987,1.06051,0.85807,0.80628,0.85931,0.61599,1.17181,0.72497,1.20199,0.000764086,0.000764086,0.000764086
49,1634.07,0.92643,0.58354,1.06405,0.85834,0.81222,0.8648,0.62428,1.15424,0.71748,1.19896,0.000749939,0.000749939,0.000749939
50,1666.71,0.91577,0.5745,1.05871,0.86033,0.81402,0.86536,0.62037,1.15457,0.71078,1.19076,0.000735792,0.000735792,0.000735792
51,1699.67,0.91592,0.57449,1.05383,0.85597,0.81535,0.86434,0.62325,1.15795,0.71126,1.19917,0.000721645,0.000721645,0.000721645
52,1732.28,0.90337,0.569,1.05171,0.85107,0.82069,0.86227,0.62573,1.15454,0.70793,1.19857,0.000707498,0.000707498,0.000707498
53,1764.95,0.89999,0.56558,1.05157,0.86238,0.81466,0.86405,0.62969,1.15687,0.71016,1.20522,0.000693351,0.000693351,0.000693351
54,1797.8,0.89253,0.56198,1.0454,0.86578,0.81198,0.86307,0.62488,1.14944,0.70783,1.1946,0.000679204,0.000679204,0.000679204
55,1830.33,0.88497,0.55335,1.04375,0.83727,0.84357,0.86942,0.63562,1.13316,0.68527,1.17763,0.000665057,0.000665057,0.000665057
56,1863.24,0.87934,0.54654,1.03643,0.83987,0.83833,0.86659,0.63308,1.13992,0.68769,1.20009,0.000650909,0.000650909,0.000650909
57,1895.98,0.87021,0.53848,1.03442,0.86678,0.8038,0.86057,0.62187,1.16663,0.7036,1.20305,0.000636762,0.000636762,0.000636762
58,1928.68,0.86631,0.54098,1.03618,0.86514,0.81989,0.86838,0.63283,1.14309,0.69608,1.19528,0.000622615,0.000622615,0.000622615
59,1961.35,0.86576,0.53763,1.03342,0.84021,0.83224,0.86266,0.62566,1.1445,0.71513,1.19154,0.000608468,0.000608468,0.000608468
60,1994.19,0.85933,0.5322,1.02811,0.84084,0.84346,0.87042,0.63387,1.14371,0.6895,1.19343,0.000594321,0.000594321,0.000594321
61,2026.91,0.84933,0.52576,1.02575,0.86112,0.82182,0.86773,0.63277,1.13996,0.69571,1.20069,0.000580174,0.000580174,0.000580174
62,2059.54,0.85006,0.52856,1.02681,0.86084,0.81401,0.86059,0.62629,1.14254,0.71615,1.19216,0.000566027,0.000566027,0.000566027
63,2092.29,0.84699,0.52415,1.02342,0.8599,0.82762,0.87044,0.6364,1.13216,0.68533,1.19151,0.00055188,0.00055188,0.00055188
64,2125.2,0.83892,0.52146,1.02214,0.85804,0.83285,0.87036,0.63167,1.15402,0.6944,1.19942,0.000537733,0.000537733,0.000537733
65,2157.9,0.83298,0.51919,1.0195,0.86005,0.83499,0.87309,0.63841,1.12239,0.68774,1.18848,0.000523586,0.000523586,0.000523586
66,2190.63,0.82166,0.50814,1.01285,0.86125,0.82696,0.86748,0.6304,1.14432,0.70167,1.1903,0.000509438,0.000509438,0.000509438
67,2223.25,0.8205,0.50344,1.01281,0.87306,0.82305,0.86582,0.62882,1.13762,0.69638,1.19752,0.000495291,0.000495291,0.000495291
68,2256.14,0.81373,0.49976,1.01019,0.8524,0.83703,0.86826,0.63797,1.11924,0.68929,1.19126,0.000481144,0.000481144,0.000481144
