epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1075,3.43095,4.89537,2.99644,0.59836,0.61564,0.62734,0.35519,3.0864,2.82437,2.65033,0.0702521,0.00330532,0.00330532
2,118.214,3.08689,2.72764,2.70055,0.60288,0.55853,0.58712,0.31721,3.20087,3.74319,2.82744,0.0401207,0.00650721,0.00650721
3,175.458,3.24068,2.84782,2.81497,0.2563,0.34647,0.21877,0.09724,4.01478,14.1618,3.6301,0.00985721,0.0095771,0.0095771
4,232.708,3.38847,3.12329,2.92764,0.45522,0.4248,0.36134,0.15825,4.03186,6.80541,3.52093,0.009406,0.009406,0.009406
5,289.728,3.27004,2.88924,2.87742,0.52359,0.47142,0.44633,0.21846,3.59142,4.4377,3.20832,0.009208,0.009208,0.009208
6,346.878,3.14393,2.65551,2.787,0.66982,0.57376,0.61833,0.33189,3.22022,3.18201,2.88117,0.00901,0.00901,0.00901
7,404.024,3.04979,2.51239,2.73731,0.66884,0.62463,0.66422,0.36578,3.10952,2.49773,2.83853,0.008812,0.008812,0.008812
8,461.293,2.97598,2.356,2.68472,0.67469,0.62949,0.65757,0.36232,3.15779,2.81954,2.83942,0.008614,0.008614,0.008614
9,518.378,2.88946,2.24946,2.63469,0.74273,0.64166,0.70996,0.40912,3.14587,2.37237,2.74297,0.008416,0.008416,0.008416
10,575.528,2.82416,2.14965,2.60466,0.76427,0.69992,0.76661,0.45694,2.8135,2.04842,2.63368,0.008218,0.008218,0.008218
11,632.535,2.75664,2.05136,2.5744,0.72782,0.64647,0.70837,0.3995,3.04084,2.31637,2.76843,0.00802,0.00802,0.00802
12,689.538,2.69415,1.98463,2.53773,0.73303,0.69462,0.74678,0.45512,2.78372,2.09793,2.58884,0.007822,0.007822,0.007822
13,746.687,2.67237,1.93197,2.50275,0.78344,0.73134,0.79416,0.49264,2.68515,1.88342,2.5516,0.007624,0.007624,0.007624
14,803.79,2.63354,1.88774,2.49991,0.77899,0.75047,0.80393,0.50632,2.63747,1.7651,2.53665,0.007426,0.007426,0.007426
15,860.929,2.57372,1.81893,2.48122,0.78767,0.75065,0.80636,0.51408,2.66154,1.75975,2.52836,0.007228,0.007228,0.007228
16,918.09,2.57082,1.79271,2.45714,0.76867,0.73716,0.79019,0.49925,2.68649,1.82605,2.5587,0.00703,0.00703,0.00703
17,975.171,2.51334,1.72159,2.42185,0.82131,0.68512,0.77131,0.48293,2.75128,1.9625,2.60629,0.006832,0.006832,0.006832
18,1032.41,2.50414,1.7072,2.42158,0.80432,0.73585,0.80564,0.51567,2.6409,1.72164,2.54303,0.006634,0.006634,0.006634
19,1089.54,2.4426,1.64393,2.38839,0.81802,0.75154,0.81823,0.53233,2.60587,1.64777,2.49233,0.006436,0.006436,0.006436
20,1146.65,2.39764,1.58562,2.36942,0.82763,0.74641,0.81374,0.5312,2.55861,1.76482,2.49091,0.006238,0.006238,0.006238
21,1203.76,2.36961,1.55818,2.35847,0.80497,0.74976,0.82348,0.53817,2.54646,1.69881,2.4886,0.00604,0.00604,0.00604
22,1261.02,2.36573,1.5249,2.34124,0.81139,0.77321,0.82488,0.5392,2.58644,1.65684,2.48927,0.005842,0.005842,0.005842
23,1318.06,2.31204,1.49041,2.31662,0.82367,0.77153,0.84032,0.54671,2.53715,1.59458,2.45544,0.005644,0.005644,0.005644
24,1375.12,2.30902,1.48936,2.32246,0.81982,0.77807,0.8419,0.55224,2.51096,1.57779,2.44409,0.005446,0.005446,0.005446
25,1432.16,2.23875,1.4163,2.29135,0.82987,0.77966,0.84297,0.54683,2.53314,1.5561,2.46416,0.005248,0.005248,0.005248
26,1489.28,2.22925,1.40787,2.27851,0.84091,0.78131,0.85313,0.5666,2.46122,1.54127,2.42133,0.00505,0.00505,0.00505
27,1546.31,2.21237,1.39279,2.26544,0.83568,0.77679,0.84595,0.56489,2.46155,1.50659,2.43893,0.004852,0.004852,0.004852
28,1603.35,2.17463,1.34848,2.25771,0.82448,0.79329,0.84791,0.55914,2.48177,1.53132,2.44456,0.004654,0.004654,0.004654
29,1660.45,2.16233,1.3411,2.24132,0.82832,0.79204,0.84552,0.5543,2.5152,1.54195,2.4573,0.004456,0.004456,0.004456
30,1717.67,2.12182,1.29882,2.22699,0.823,0.79332,0.84507,0.56487,2.48095,1.57554,2.43247,0.004258,0.004258,0.004258
31,1774.98,2.11098,1.29274,2.21951,0.84705,0.77589,0.85056,0.57206,2.45583,1.4959,2.40545,0.00406,0.00406,0.00406
32,1832.18,2.06175,1.25953,2.19598,0.85978,0.78405,0.85707,0.57869,2.43067,1.45001,2.41148,0.003862,0.003862,0.003862
33,1889.47,2.06021,1.23875,2.19058,0.84536,0.8074,0.86101,0.57348,2.4512,1.42824,2.42943,0.003664,0.003664,0.003664
34,1946.81,2.02278,1.229,2.17652,0.83096,0.80604,0.85592,0.57595,2.45553,1.45745,2.43068,0.003466,0.003466,0.003466
35,2004.25,1.9972,1.20326,2.1743,0.8471,0.80002,0.86047,0.58063,2.40733,1.43892,2.411,0.003268,0.003268,0.003268
36,2061.63,1.99405,1.19905,2.17031,0.8523,0.79839,0.86158,0.58271,2.40803,1.44083,2.41161,0.00307,0.00307,0.00307
37,2119.05,1.94237,1.16831,2.15539,0.86871,0.79264,0.86339,0.58618,2.40473,1.45434,2.42447,0.002872,0.002872,0.002872
38,2176.46,1.92569,1.14722,2.13467,0.84003,0.81245,0.86696,0.58872,2.40325,1.41693,2.42009,0.002674,0.002674,0.002674
39,2233.77,1.91008,1.12465,2.1344,0.83712,0.82375,0.8651,0.59467,2.39103,1.42478,2.41179,0.002476,0.002476,0.002476
40,2290.99,1.86743,1.09983,2.11125,0.83227,0.80882,0.86073,0.59224,2.36866,1.45,2.40875,0.002278,0.002278,0.002278
41,2350.42,1.7278,0.83496,2.05368,0.84433,0.80274,0.85486,0.58708,2.40893,1.47749,2.41769,0.00208,0.00208,0.00208
42,2407.36,1.68284,0.80739,2.01734,0.86618,0.80097,0.86252,0.59508,2.36367,1.42497,2.39952,0.001882,0.001882,0.001882
43,2464.33,1.6453,0.78347,2.00744,0.85774,0.80507,0.86235,0.59937,2.33484,1.40304,2.39594,0.001684,0.001684,0.001684
44,2521.35,1.60342,0.76433,1.98599,0.85997,0.81081,0.86488,0.60093,2.33697,1.41705,2.41077,0.001486,0.001486,0.001486
45,2578.42,1.56859,0.75195,1.96979,0.84137,0.81499,0.86433,0.60136,2.34695,1.4165,2.41201,0.001288,0.001288,0.001288
46,2635.38,1.54742,0.73859,1.96155,0.85302,0.80761,0.86305,0.60213,2.35354,1.41648,2.41984,0.00109,0.00109,0.00109
47,2692.36,1.5013,0.71253,1.94731,0.84643,0.82703,0.86781,0.61012,2.31316,1.40649,2.40559,0.000892,0.000892,0.000892
48,2749.42,1.47766,0.70329,1.935,0.86674,0.80718,0.86594,0.60785,2.31546,1.41782,2.41412,0.000694,0.000694,0.000694
49,2806.41,1.45862,0.69376,1.92556,0.86144,0.81491,0.86838,0.61141,2.31533,1.41581,2.40532,0.000496,0.000496,0.000496
50,2863.38,1.42035,0.67555,1.91491,0.86155,0.82212,0.86933,0.61272,2.30339,1.42048,2.41209,0.000298,0.000298,0.000298
