epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9029,1.75522,2.17761,1.5439,0.4337,0.45939,0.41084,0.20223,1.94085,2.11255,1.65287,0.06755,0.000327778,0.000327778
2,77.7532,1.53331,1.34022,1.39678,0.30102,0.27347,0.19234,0.07232,2.39117,2.58786,1.97506,0.0345435,0.000654566,0.000654566
3,108.237,1.51221,1.29442,1.3951,0.45472,0.37293,0.31743,0.14631,2.11425,2.53606,1.85848,0.00153031,0.000974754,0.000974754
4,139.194,1.50124,1.26841,1.38775,0.60186,0.52723,0.51555,0.26889,1.69277,1.90252,1.624,0.0009703,0.0009703,0.0009703
5,169.811,1.44284,1.18843,1.36153,0.59107,0.56088,0.57633,0.30103,1.73399,1.52212,1.52732,0.0009604,0.0009604,0.0009604
6,200.64,1.40224,1.1085,1.32741,0.68461,0.63199,0.65477,0.34086,1.69422,1.27928,1.48074,0.0009505,0.0009505,0.0009505
7,231.288,1.35752,1.05701,1.30443,0.75454,0.68573,0.73537,0.41682,1.51045,1.13404,1.40055,0.0009406,0.0009406,0.0009406
8,262.158,1.34312,1.01676,1.28736,0.73027,0.66086,0.70865,0.41652,1.45443,1.21657,1.35901,0.0009307,0.0009307,0.0009307
9,292.727,1.30024,0.9653,1.26456,0.79238,0.71974,0.78243,0.46832,1.38915,0.9881,1.32229,0.0009208,0.0009208,0.0009208
10,323.328,1.27737,0.9314,1.2534,0.75374,0.65134,0.71475,0.42907,1.41465,1.11441,1.35072,0.0009109,0.0009109,0.0009109
11,354.133,1.25945,0.91554,1.24214,0.73598,0.65933,0.69961,0.4224,1.40403,1.21639,1.35856,0.000901,0.000901,0.000901
12,385.027,1.23387,0.88234,1.22955,0.77025,0.72429,0.77708,0.47114,1.36635,0.95027,1.30912,0.0008911,0.0008911,0.0008911
