epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5849,1.74163,2.22959,1.54672,0.52929,0.25392,0.37405,0.19576,2.12005,2.36904,1.85843,0.000468394,0.000468394,0.000468394
2,68.2727,1.56485,1.40596,1.42681,0.42876,0.37413,0.35454,0.16292,2.03169,3.43677,1.99096,0.000935375,0.000935375,0.000935375
3,98.6718,1.57221,1.39213,1.44587,0.52592,0.40254,0.39237,0.19325,1.92995,4.15508,1.87943,0.00139292,0.00139292,0.00139292
4,129.146,1.5515,1.34172,1.43009,0.54282,0.42235,0.43775,0.21496,1.97789,2.36211,1.87578,0.00138656,0.00138656,0.00138656
5,159.563,1.4903,1.24085,1.39637,0.63007,0.5519,0.60574,0.35186,1.65111,1.61229,1.55966,0.00137241,0.00137241,0.00137241
6,190.081,1.44083,1.1624,1.35611,0.6952,0.59595,0.66507,0.38067,1.65339,1.45469,1.51538,0.00135826,0.00135826,0.00135826
7,220.765,1.39065,1.09886,1.33255,0.7031,0.65017,0.70744,0.41581,1.52376,1.29407,1.44633,0.00134412,0.00134412,0.00134412
8,251.45,1.37418,1.05787,1.31885,0.73836,0.67732,0.73826,0.47336,1.39755,1.12099,1.34768,0.00132997,0.00132997,0.00132997
9,282.07,1.33368,1.00927,1.29289,0.73554,0.66367,0.7211,0.46306,1.41257,1.15675,1.3514,0.00131582,0.00131582,0.00131582
10,312.578,1.30167,0.96914,1.27295,0.78768,0.72008,0.78311,0.50912,1.3793,1.01018,1.34469,0.00130168,0.00130168,0.00130168
11,343.131,1.29451,0.9567,1.26894,0.76984,0.73549,0.78168,0.49448,1.39385,1.0193,1.35753,0.00128753,0.00128753,0.00128753
12,373.572,1.2688,0.91939,1.25521,0.78884,0.75316,0.81092,0.52,1.33901,0.97332,1.30569,0.00127338,0.00127338,0.00127338
13,404.241,1.23916,0.88963,1.2401,0.78934,0.75103,0.80742,0.53194,1.36693,0.94635,1.32765,0.00125923,0.00125923,0.00125923
14,434.738,1.2312,0.88015,1.23401,0.80171,0.77251,0.8208,0.54733,1.34636,0.90712,1.29487,0.00124509,0.00124509,0.00124509
15,465.195,1.22045,0.85817,1.22515,0.80341,0.7529,0.81843,0.53284,1.3416,0.92751,1.30827,0.00123094,0.00123094,0.00123094
16,495.641,1.20151,0.84134,1.21605,0.83653,0.73715,0.82632,0.55721,1.28676,0.88249,1.27188,0.00121679,0.00121679,0.00121679
17,526.448,1.17441,0.81856,1.20005,0.79984,0.77919,0.82171,0.55894,1.29304,0.89875,1.27832,0.00120265,0.00120265,0.00120265
18,556.887,1.16454,0.81047,1.20022,0.81537,0.78719,0.83422,0.56796,1.25405,0.86343,1.25347,0.0011885,0.0011885,0.0011885
19,587.632,1.16032,0.7961,1.19102,0.80645,0.7922,0.83966,0.57888,1.25256,0.83244,1.25087,0.00117435,0.00117435,0.00117435
20,618.447,1.14787,0.78134,1.18201,0.82637,0.79245,0.84351,0.57838,1.25169,0.82408,1.23808,0.00116021,0.00116021,0.00116021
21,649.127,1.12162,0.77115,1.17704,0.8374,0.79855,0.85542,0.5919,1.23757,0.7991,1.25125,0.00114606,0.00114606,0.00114606
22,679.719,1.12092,0.75627,1.17085,0.84483,0.79014,0.84705,0.58042,1.26555,0.81647,1.26272,0.00113191,0.00113191,0.00113191
23,710.206,1.10261,0.73497,1.16538,0.82926,0.80099,0.84631,0.59019,1.23982,0.80954,1.24416,0.00111776,0.00111776,0.00111776
24,740.617,1.08589,0.72647,1.15315,0.83819,0.77711,0.83325,0.58118,1.24681,0.82385,1.25177,0.00110362,0.00110362,0.00110362
