epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5671,3.87993,9.28523,3.39132,0.33855,0.51877,0.32252,0.17401,3.30889,4.024,2.8954,0.06755,0.000327778,0.000327778
2,131.786,3.3388,3.70789,2.92711,0.57368,0.59977,0.61237,0.35344,2.94765,2.64609,2.60075,0.0345435,0.000654566,0.000654566
3,172.938,3.09698,2.81161,2.71151,0.71547,0.6739,0.72757,0.43479,2.82332,2.10066,2.49227,0.00153031,0.000974754,0.000974754
4,213.995,2.92859,2.37826,2.61523,0.742,0.68736,0.75452,0.45429,2.76941,2.03789,2.44583,0.0009703,0.0009703,0.0009703
5,255.015,2.73541,2.11872,2.51874,0.77715,0.72709,0.78773,0.48752,2.68502,1.82705,2.40806,0.0009604,0.0009604,0.0009604
6,296.206,2.63369,1.95103,2.45322,0.80179,0.73142,0.80411,0.51305,2.60385,1.70568,2.3612,0.0009505,0.0009505,0.0009505
7,337.182,2.5298,1.84109,2.41866,0.82532,0.73914,0.8228,0.53213,2.5402,1.66409,2.37243,0.0009406,0.0009406,0.0009406
8,378.327,2.50866,1.78036,2.39644,0.79939,0.77659,0.83025,0.54551,2.50707,1.57605,2.34371,0.0009307,0.0009307,0.0009307
9,419.462,2.44449,1.70113,2.36149,0.81067,0.75762,0.81925,0.53138,2.54153,1.6464,2.37044,0.0009208,0.0009208,0.0009208
10,460.489,2.40044,1.63935,2.34376,0.79324,0.7761,0.82259,0.52837,2.59611,1.6145,2.36148,0.0009109,0.0009109,0.0009109
11,501.709,2.3826,1.60165,2.3287,0.81918,0.77684,0.83261,0.54324,2.58766,1.57893,2.34716,0.000901,0.000901,0.000901
12,542.779,2.33801,1.55377,2.31583,0.84751,0.77105,0.8397,0.55571,2.43256,1.53855,2.32229,0.0008911,0.0008911,0.0008911
