epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2488,1.6469,1.6131,1.47713,0.4478,0.46318,0.43145,0.18617,2.06582,2.7254,1.84776,0.0672773,0.000330532,0.000330532
2,92.9722,1.5952,1.43037,1.46349,0.41083,0.37482,0.31043,0.15093,1.92868,2.60707,1.83403,0.0342642,0.000650721,0.000650721
3,137.512,1.62263,1.4496,1.48171,0.43643,0.43577,0.3719,0.17203,1.9123,2.23459,1.73039,0.00123782,0.00095771,0.00095771
4,182.268,1.58699,1.39584,1.45693,0.57726,0.51609,0.52758,0.27016,1.73605,2.24564,1.59166,0.0009406,0.0009406,0.0009406
5,226.589,1.52827,1.29635,1.42667,0.64198,0.57594,0.56863,0.31063,1.57699,1.50554,1.49407,0.0009208,0.0009208,0.0009208
6,271.045,1.47365,1.19312,1.37805,0.71904,0.61503,0.68618,0.38708,1.49616,1.27104,1.38586,0.000901,0.000901,0.000901
7,315.543,1.42322,1.14559,1.35719,0.74124,0.66204,0.71478,0.40462,1.5069,1.14409,1.44213,0.0008812,0.0008812,0.0008812
8,360.162,1.39597,1.10612,1.33124,0.73015,0.66692,0.7169,0.39374,1.55129,1.20016,1.43314,0.0008614,0.0008614,0.0008614
9,404.494,1.35987,1.04607,1.30838,0.77503,0.7048,0.76109,0.44337,1.42491,1.03837,1.33863,0.0008416,0.0008416,0.0008416
10,449.132,1.33017,1.00668,1.29254,0.76134,0.67843,0.74276,0.43408,1.39837,1.13462,1.3465,0.0008218,0.0008218,0.0008218
11,493.604,1.29949,0.96686,1.27344,0.77856,0.70426,0.7717,0.47992,1.36881,1.02741,1.2982,0.000802,0.000802,0.000802
12,538.076,1.269,0.9423,1.25862,0.80564,0.70327,0.77847,0.48049,1.34768,0.98645,1.2897,0.0007822,0.0007822,0.0007822
13,582.517,1.25198,0.90476,1.24321,0.79233,0.71788,0.78008,0.48596,1.33722,0.98165,1.29722,0.0007624,0.0007624,0.0007624
14,627.06,1.23924,0.89467,1.23975,0.79255,0.74061,0.7826,0.48638,1.33353,0.94385,1.3008,0.0007426,0.0007426,0.0007426
15,671.5,1.21468,0.86855,1.22695,0.83003,0.74989,0.82525,0.52129,1.2996,0.87148,1.27031,0.0007228,0.0007228,0.0007228
16,715.927,1.20409,0.85476,1.21954,0.80689,0.75477,0.81506,0.51658,1.30343,0.87558,1.26737,0.000703,0.000703,0.000703
17,760.191,1.18729,0.82703,1.20381,0.81572,0.74933,0.79934,0.50612,1.28476,0.91169,1.25911,0.0006832,0.0006832,0.0006832
18,804.599,1.16946,0.81753,1.19755,0.83046,0.74319,0.82488,0.53254,1.26835,0.85834,1.25343,0.0006634,0.0006634,0.0006634
19,848.936,1.15142,0.79485,1.18363,0.82897,0.76013,0.82499,0.53357,1.23343,0.82873,1.22925,0.0006436,0.0006436,0.0006436
20,893.437,1.12671,0.771,1.17221,0.81568,0.77602,0.83179,0.53473,1.27388,0.84289,1.24785,0.0006238,0.0006238,0.0006238
21,937.791,1.11597,0.75938,1.16572,0.81888,0.76179,0.81722,0.52612,1.26919,0.83958,1.24818,0.000604,0.000604,0.000604
22,982.17,1.1092,0.75092,1.16197,0.83671,0.79678,0.85452,0.56029,1.22668,0.76779,1.23699,0.0005842,0.0005842,0.0005842
23,1026.5,1.08924,0.73311,1.15215,0.83235,0.79437,0.84341,0.55456,1.20587,0.79042,1.22005,0.0005644,0.0005644,0.0005644
24,1070.94,1.08678,0.72377,1.15206,0.8612,0.77376,0.85143,0.5571,1.2321,0.77948,1.2274,0.0005446,0.0005446,0.0005446
25,1115.15,1.05865,0.70269,1.13776,0.83781,0.79339,0.85138,0.56179,1.20133,0.75515,1.22067,0.0005248,0.0005248,0.0005248
26,1159.63,1.06012,0.69901,1.13562,0.84726,0.78789,0.84827,0.56509,1.2005,0.76836,1.21956,0.000505,0.000505,0.000505
27,1203.98,1.04596,0.68931,1.12588,0.84556,0.78417,0.84943,0.57754,1.17559,0.75164,1.2099,0.0004852,0.0004852,0.0004852
28,1248.43,1.02737,0.6693,1.11898,0.85,0.80199,0.85961,0.57933,1.17893,0.73815,1.20144,0.0004654,0.0004654,0.0004654
29,1292.78,1.0237,0.66558,1.11384,0.83827,0.78594,0.8457,0.57011,1.17903,0.75406,1.21605,0.0004456,0.0004456,0.0004456
30,1337.18,0.99955,0.64582,1.10583,0.85527,0.79796,0.86358,0.58132,1.18578,0.72256,1.20731,0.0004258,0.0004258,0.0004258
31,1381.51,1.00038,0.64787,1.103,0.85941,0.79302,0.8539,0.57797,1.17324,0.73637,1.19846,0.000406,0.000406,0.000406
32,1425.82,0.98174,0.63328,1.0928,0.84822,0.81628,0.86431,0.58751,1.15689,0.70614,1.19767,0.0003862,0.0003862,0.0003862
