epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.3559,3.46908,7.24073,3.03565,0.3657,0.31449,0.30989,0.15393,3.98104,5.61818,3.65933,0.000468394,0.000468394,0.000468394
2,125.644,3.37538,3.33686,2.9654,0.18731,0.12198,0.10078,0.04031,4.86236,9.21147,4.56631,0.000935375,0.000935375,0.000935375
3,166.769,3.42177,3.27895,3.0037,0.18627,0.16737,0.11617,0.04356,5.31498,11.2872,5.36857,0.00139292,0.00139292,0.00139292
4,208.035,3.35529,3.15286,2.95789,0.26917,0.26426,0.22982,0.10901,4.40371,8.25909,4.08426,0.00138656,0.00138656,0.00138656
5,249.342,3.21112,2.89687,2.88164,0.57909,0.4902,0.52984,0.29875,3.42447,3.73104,3.21764,0.00137241,0.00137241,0.00137241
6,290.807,3.11422,2.66891,2.8056,0.56368,0.54889,0.57776,0.34462,3.22725,3.09407,2.95963,0.00135826,0.00135826,0.00135826
7,332.076,3.00453,2.52046,2.75142,0.65316,0.61066,0.64653,0.38758,3.14812,2.82324,2.89724,0.00134412,0.00134412,0.00134412
8,373.572,2.96295,2.40477,2.70741,0.65318,0.63819,0.68259,0.42639,2.99642,2.69428,2.77036,0.00132997,0.00132997,0.00132997
9,414.982,2.88076,2.265,2.65929,0.74327,0.64176,0.72545,0.46294,2.94878,2.32283,2.73498,0.00131582,0.00131582,0.00131582
10,456.262,2.83648,2.19307,2.6258,0.74137,0.67823,0.74788,0.47844,2.87118,2.15647,2.70274,0.00130168,0.00130168,0.00130168
11,497.669,2.79432,2.12536,2.60737,0.73208,0.67595,0.74217,0.46469,2.96369,2.22373,2.77426,0.00128753,0.00128753,0.00128753
12,538.973,2.72776,2.06485,2.57583,0.78051,0.70845,0.77837,0.50823,2.80058,2.00517,2.65593,0.00127338,0.00127338,0.00127338
13,580.422,2.6589,1.95895,2.53297,0.74278,0.70427,0.76308,0.49661,2.78604,2.00717,2.65353,0.00125923,0.00125923,0.00125923
14,621.718,2.62376,1.91924,2.51785,0.79657,0.7138,0.79118,0.52206,2.74476,1.8892,2.60833,0.00124509,0.00124509,0.00124509
15,663.057,2.62939,1.9018,2.50976,0.77652,0.71693,0.78673,0.51567,2.76219,1.91257,2.60086,0.00123094,0.00123094,0.00123094
16,704.48,2.56988,1.84302,2.47806,0.75538,0.74105,0.79203,0.53587,2.69679,1.8262,2.59538,0.00121679,0.00121679,0.00121679
17,745.946,2.51953,1.77182,2.44717,0.79051,0.75214,0.80339,0.54814,2.65157,1.77392,2.53205,0.00120265,0.00120265,0.00120265
18,787.392,2.49411,1.74139,2.45304,0.79814,0.74262,0.80539,0.54913,2.61863,1.766,2.54553,0.0011885,0.0011885,0.0011885
19,828.937,2.49488,1.72953,2.43639,0.7855,0.72502,0.78625,0.54419,2.65408,1.86817,2.54075,0.00117435,0.00117435,0.00117435
20,870.362,2.46065,1.67391,2.41189,0.81053,0.7617,0.82044,0.56497,2.58761,1.71354,2.52357,0.00116021,0.00116021,0.00116021
21,911.713,2.42783,1.66644,2.41087,0.83361,0.71611,0.80535,0.55712,2.59929,1.72001,2.54079,0.00114606,0.00114606,0.00114606
22,953.024,2.39831,1.61822,2.39222,0.82523,0.74138,0.81639,0.56273,2.6411,1.6982,2.57191,0.00113191,0.00113191,0.00113191
23,994.407,2.35021,1.56955,2.36796,0.8242,0.75174,0.82336,0.57264,2.59341,1.66196,2.50423,0.00111776,0.00111776,0.00111776
24,1035.87,2.3287,1.54159,2.34811,0.82063,0.73722,0.81137,0.56095,2.62949,1.72356,2.55176,0.00110362,0.00110362,0.00110362
25,1077.12,2.30416,1.52462,2.3364,0.81765,0.76381,0.82526,0.57745,2.57012,1.62128,2.49089,0.00108947,0.00108947,0.00108947
