epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8032,1.8904,2.8023,1.89783,0.45894,0.59401,0.45081,0.23593,1.61411,1.75872,1.61768,0.0672773,0.000330532,0.000330532
2,137.826,1.60955,1.58684,1.63211,0.63265,0.66064,0.66253,0.38235,1.40943,1.1706,1.46268,0.0342642,0.000650721,0.000650721
3,205.643,1.50162,1.26845,1.52561,0.71758,0.69149,0.73099,0.41852,1.44964,1.02058,1.45796,0.00123782,0.00095771,0.00095771
4,273.531,1.43463,1.11941,1.47704,0.78078,0.72032,0.7771,0.47804,1.31223,0.91663,1.38287,0.0009406,0.0009406,0.0009406
5,341.356,1.36946,1.03288,1.44941,0.78433,0.73998,0.79306,0.48625,1.32401,0.88695,1.39655,0.0009208,0.0009208,0.0009208
6,409.198,1.31592,0.95356,1.40684,0.78617,0.73985,0.79877,0.50262,1.28276,0.84658,1.36733,0.000901,0.000901,0.000901
7,476.944,1.27115,0.9138,1.38005,0.79962,0.75769,0.81347,0.5219,1.24173,0.80183,1.35672,0.0008812,0.0008812,0.0008812
8,544.726,1.25154,0.8885,1.36417,0.8038,0.77192,0.82988,0.53666,1.20978,0.76534,1.30545,0.0008614,0.0008614,0.0008614
9,612.605,1.21921,0.84484,1.33154,0.82544,0.76851,0.83458,0.54264,1.20732,0.76173,1.29844,0.0008416,0.0008416,0.0008416
10,680.602,1.19554,0.82706,1.31778,0.83491,0.77511,0.83779,0.55517,1.17351,0.74918,1.28144,0.0008218,0.0008218,0.0008218
11,748.362,1.17175,0.79957,1.29901,0.83122,0.77344,0.83662,0.54539,1.18039,0.7423,1.3031,0.000802,0.000802,0.000802
12,816.207,1.14675,0.77961,1.29323,0.84482,0.77667,0.84711,0.55773,1.18768,0.73095,1.29611,0.0007822,0.0007822,0.0007822
13,884.176,1.1448,0.75966,1.28247,0.83327,0.76581,0.83457,0.55041,1.19154,0.75021,1.28976,0.0007624,0.0007624,0.0007624
14,952.083,1.13684,0.75423,1.27988,0.8375,0.7852,0.84672,0.55967,1.17108,0.72495,1.30696,0.0007426,0.0007426,0.0007426
15,1019.93,1.12231,0.73712,1.27346,0.8547,0.78636,0.86138,0.57589,1.15479,0.69155,1.28168,0.0007228,0.0007228,0.0007228
16,1087.85,1.11884,0.73293,1.26804,0.86465,0.77484,0.85054,0.56498,1.1835,0.7116,1.28274,0.000703,0.000703,0.000703
17,1155.58,1.10552,0.71218,1.25635,0.85181,0.78226,0.84692,0.56361,1.16765,0.72423,1.26768,0.0006832,0.0006832,0.0006832
18,1223.44,1.09993,0.71849,1.2525,0.86055,0.79465,0.85995,0.56738,1.17371,0.68894,1.28197,0.0006634,0.0006634,0.0006634
19,1291.35,1.0801,0.69786,1.24056,0.83792,0.79488,0.85369,0.57619,1.14045,0.68803,1.26487,0.0006436,0.0006436,0.0006436
20,1359.13,1.06796,0.68605,1.22895,0.85428,0.79638,0.86493,0.58159,1.15673,0.68664,1.25954,0.0006238,0.0006238,0.0006238
21,1426.91,1.06404,0.67496,1.22318,0.86139,0.79573,0.86004,0.58665,1.1384,0.69342,1.25021,0.000604,0.000604,0.000604
22,1494.9,1.06074,0.66778,1.22166,0.85909,0.79117,0.86662,0.59484,1.12031,0.6718,1.24611,0.0005842,0.0005842,0.0005842
23,1562.68,1.04417,0.65576,1.21711,0.8578,0.79741,0.86017,0.57857,1.15986,0.67772,1.28296,0.0005644,0.0005644,0.0005644
24,1630.54,1.04911,0.66506,1.2268,0.84847,0.79816,0.85979,0.58311,1.13923,0.69264,1.25338,0.0005446,0.0005446,0.0005446
25,1698.3,1.02597,0.6425,1.20305,0.84918,0.80415,0.86222,0.58754,1.13035,0.67426,1.24796,0.0005248,0.0005248,0.0005248
26,1766.11,1.02936,0.63992,1.20159,0.86852,0.80638,0.87093,0.59987,1.1141,0.64653,1.24904,0.000505,0.000505,0.000505
27,1833.97,1.02433,0.63673,1.20254,0.87227,0.80041,0.86884,0.59446,1.12533,0.65542,1.24815,0.0004852,0.0004852,0.0004852
28,1901.73,1.01073,0.62422,1.19515,0.86393,0.80379,0.87242,0.59493,1.13599,0.65364,1.24611,0.0004654,0.0004654,0.0004654
29,1969.46,1.01351,0.62419,1.19467,0.86442,0.81861,0.87475,0.59544,1.12143,0.65115,1.24794,0.0004456,0.0004456,0.0004456
30,2037.37,0.99822,0.6119,1.18742,0.86286,0.81739,0.87399,0.59631,1.116,0.64548,1.24506,0.0004258,0.0004258,0.0004258
31,2105.18,1.00165,0.61342,1.18614,0.86547,0.80873,0.87447,0.60009,1.11767,0.64626,1.2452,0.000406,0.000406,0.000406
32,2173.08,0.98952,0.59973,1.18546,0.85923,0.80459,0.86662,0.59414,1.12961,0.65442,1.25912,0.0003862,0.0003862,0.0003862
33,2240.82,0.9825,0.59923,1.18024,0.86777,0.80664,0.87442,0.60094,1.118,0.64797,1.24998,0.0003664,0.0003664,0.0003664
34,2308.7,0.97811,0.5967,1.17526,0.86078,0.80368,0.87175,0.59718,1.12573,0.65101,1.25758,0.0003466,0.0003466,0.0003466
35,2376.4,0.97108,0.59343,1.17205,0.85241,0.81415,0.87326,0.60217,1.11789,0.63111,1.24601,0.0003268,0.0003268,0.0003268
36,2444.23,0.97212,0.58779,1.17058,0.87231,0.79997,0.87524,0.59769,1.13195,0.64498,1.24515,0.000307,0.000307,0.000307
37,2512.02,0.95933,0.58023,1.16856,0.85194,0.8158,0.87425,0.59878,1.12025,0.63044,1.25503,0.0002872,0.0002872,0.0002872
