epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3838,1.89448,2.16318,1.86132,0.00495,0.07309,0.00273,0.00076,3.49966,80.4839,6.45674,0.0702521,0.00330532,0.00330532
2,152.996,1.92319,2.1447,1.91807,0.35034,0.1327,0.01495,0.00617,2.70965,95.9107,3.5887,0.0401207,0.00650721,0.00650721
3,225.339,1.88126,2.01518,1.88001,0.35146,0.17495,0.01137,0.00409,2.93337,73.6618,3.35101,0.00985721,0.0095771,0.0095771
4,296.56,1.80552,1.88282,1.80872,0.27921,0.36001,0.20758,0.08408,2.12838,3.98869,2.17684,0.009406,0.009406,0.009406
5,367.791,1.72641,1.73164,1.754,0.41276,0.38224,0.32542,0.13478,2.14569,2.48199,2.16683,0.009208,0.009208,0.009208
6,438.868,1.67764,1.59386,1.70058,0.48353,0.46145,0.44924,0.20382,1.91728,2.02124,1.94925,0.00901,0.00901,0.00901
7,509.913,1.62267,1.52081,1.66289,0.5013,0.47315,0.45191,0.22408,1.78753,1.88967,1.83698,0.008812,0.008812,0.008812
8,581.073,1.58553,1.45292,1.62548,0.65246,0.54718,0.593,0.29298,1.79088,1.66968,1.80184,0.008614,0.008614,0.008614
9,652.135,1.53804,1.36039,1.59163,0.65086,0.56343,0.61204,0.32499,1.63509,1.52602,1.71083,0.008416,0.008416,0.008416
10,723.218,1.53629,1.36117,1.59181,0.66129,0.62187,0.65755,0.3604,1.60158,1.34018,1.66529,0.008218,0.008218,0.008218
11,794.237,1.49318,1.28349,1.55889,0.70618,0.63118,0.6972,0.39535,1.53003,1.24254,1.59663,0.00802,0.00802,0.00802
12,865.398,1.44931,1.2383,1.53564,0.68986,0.61117,0.6349,0.35956,1.53932,1.30304,1.6259,0.007822,0.007822,0.007822
13,936.485,1.4479,1.20191,1.52932,0.69026,0.61484,0.6561,0.36765,1.5564,1.33346,1.64792,0.007624,0.007624,0.007624
14,1007.59,1.43818,1.18725,1.51908,0.70999,0.64168,0.68595,0.39536,1.50852,1.2413,1.62133,0.007426,0.007426,0.007426
15,1078.85,1.42488,1.15922,1.51293,0.68362,0.62974,0.67227,0.39221,1.4378,1.35574,1.55704,0.007228,0.007228,0.007228
16,1149.78,1.39542,1.12766,1.48821,0.68517,0.6346,0.65884,0.39342,1.43718,1.25875,1.55752,0.00703,0.00703,0.00703
